location,size,total_sqft,bath,price,bhk,price_per_sqft,bath_per_bhk,sqft_per_bhk
Yelahanka,3 BHK,1600.0,2.0,124.85,3,7803.125,0.6666666666666666,533.3333333333334
Begur Road,2 BHK,1200.0,2.0,83.2,2,6933.333333333333,1.0,600.0
Ramakrishnappa Layout,2 BHK,1500.0,2.0,170.85,2,11390.0,1.0,750.0
Govindaraja Nagar Ward,2 BHK,840.0,2.0,81.59,2,9713.095238095239,1.0,420.0
Tharabanahalli,3 Bedroom,4395.0,3.0,258.34,3,5878.043230944254,1.0,1465.0
Ganga Nagar,2 BHK,845.0,2.0,52.13,2,6169.2307692307695,1.0,422.5
Whitefield,4 Bedroom,5700.0,5.0,565.5,4,9921.052631578947,1.25,1425.0
Varthur,2 BHK,1160.0,2.0,99.13,2,8545.689655172413,1.0,580.0
Bommanahalli,8 Bedroom,3000.0,8.0,252.6,8,8420.0,1.0,375.0
Doddathoguru,2 BHK,1100.0,2.0,40.12,2,3647.272727272727,1.0,550.0
Gunjur,2 BHK,1140.0,2.0,48.67,2,4269.298245614035,1.0,570.0
Marathahalli,2 BHK,1220.0,2.0,112.14,2,9191.803278688525,1.0,610.0
Kanakpura Road,2 BHK,1005.0,2.0,51.45,2,5119.4029850746265,1.0,502.5
Begur Road,2 BHK,1358.0,2.0,94.07,2,6927.098674521355,1.0,679.0
Hegde Nagar,3 BHK,1569.0,3.0,105.95,3,6752.708731676227,1.0,523.0
Haralur Road,2 BHK,1240.0,2.0,120.84,2,9745.161290322581,1.0,620.0
Hennur Road,3 BHK,2089.0,3.0,126.09,3,6035.902345619914,1.0,696.3333333333334
Kothannur,2 BHK,1206.0,2.0,46.35,2,3843.283582089552,1.0,603.0
Kalena Agrahara,2 BHK,1150.0,2.0,55.54,2,4829.565217391304,1.0,575.0
Cholanayakanahalli,3 BHK,2511.0,3.0,176.8,3,7041.0195141377935,1.0,837.0
ISRO Layout,6 Bedroom,4400.0,6.0,292.95,6,6657.954545454545,1.0,733.3333333333334
Kodanda Reddy Layout,3 BHK,1660.0,2.0,107.55,3,6478.915662650603,0.6666666666666666,553.3333333333334
Yelahanka,2 BHK,1326.0,2.0,104.71,2,7896.681749622926,1.0,663.0
Garudachar Palya,3 BHK,1325.0,2.0,62.34,3,4704.905660377359,0.6666666666666666,441.6666666666667
EPIP Zone,3 BHK,1499.0,5.0,107.43,3,7166.777851901267,1.6666666666666667,499.6666666666667
Hegde Nagar,6 Bedroom,3000.0,7.0,224.04,6,7468.0,1.1666666666666667,500.0
Kanakpura Road,3 BHK,1665.0,3.0,86.95,3,5222.222222222223,1.0,555.0
Dasanapura,2 BHK,708.0,2.0,36.26,2,5121.468926553673,1.0,354.0
Kasavanhalli,2 BHK,1060.0,2.0,59.48,2,5611.320754716981,1.0,530.0
Sanjay nagar,2 BHK,1000.0,2.0,64.81,2,6481.0,1.0,500.0
Electronic City,2 BHK,1000.0,2.0,57.85,2,5785.0,1.0,500.0
 Mysore Highway,3 BHK,1450.0,2.0,63.55,3,4382.758620689655,0.6666666666666666,483.3333333333333
ISRO Layout,4 Bedroom,1200.0,4.0,73.31,4,6109.166666666667,1.0,300.0
Thanisandra,2 BHK,1296.0,2.0,103.72,2,8003.086419753086,1.0,648.0
Domlur,3 BHK,1540.0,3.0,201.17,3,13062.987012987012,1.0,513.3333333333334
Kengeri,4 Bedroom,2894.0,4.0,186.66,4,6449.896337249482,1.0,723.5
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,46.96,3,3530.8270676691727,0.6666666666666666,443.3333333333333
Devasthanagalu,2 BHK,1200.0,2.0,53.16,2,4430.0,1.0,600.0
T Dasarahalli,3 Bedroom,1200.0,3.0,111.89,3,9324.166666666666,1.0,400.0
Yeshwanthpur,3 BHK,2502.0,3.0,142.06,3,5677.8577138289365,1.0,834.0
Chandapura,2 BHK,650.0,1.0,36.65,2,5638.461538461538,0.5,325.0
Kothanur,3 Bedroom,2400.0,2.0,115.46,3,4810.833333333333,0.6666666666666666,800.0
Green View Layout,2 BHK,1007.0,2.0,39.25,2,3897.715988083416,1.0,503.5
Shantiniketan Layout,2 BHK,1200.0,2.0,60.84,2,5070.0,1.0,600.0
Peenya,2 BHK,966.0,2.0,63.54,2,6577.639751552795,1.0,483.0
Nagarbhavi,3 BHK,1630.0,2.0,137.47,3,8433.742331288344,0.6666666666666666,543.3333333333334
Rajaji Nagar,3 BHK,1640.0,3.0,230.91,3,14079.878048780487,1.0,546.6666666666666
Jalahalli West,2 BHK,782.0,2.0,41.81,2,5346.547314578005,1.0,391.0
Devanahalli,2 BHK,1260.0,2.0,62.72,2,4977.777777777777,1.0,630.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,146.9,3,8161.111111111111,1.0,600.0
Byatarayanapura,3 BHK,1413.0,2.0,95.15,3,6733.899504600142,0.6666666666666666,471.0
Whitefield,2 BHK,1116.0,2.0,99.83,2,8945.340501792114,1.0,558.0
Electronic City,3 BHK,1530.0,2.0,90.97,3,5945.751633986928,0.6666666666666666,510.0
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,187.11,4,5057.027027027027,1.0,925.0
Sarjapur  Road,3 Bedroom,2497.0,3.0,150.22,3,6016.019223067681,1.0,832.3333333333334
Kengeri,3 BHK,1540.0,2.0,89.37,3,5803.2467532467535,0.6666666666666666,513.3333333333334
Thanisandra,3 BHK,1436.0,3.0,119.89,3,8348.885793871867,1.0,478.6666666666667
Malleshwaram,2 BHK,1100.0,2.0,138.48,2,12589.090909090908,1.0,550.0
Thanisandra,3 BHK,1427.0,3.0,115.52,3,8095.304835318851,1.0,475.6666666666667
Akshaya Nagar,3 BHK,2061.0,3.0,162.49,3,7884.036875303251,1.0,687.0
Hebbal,4 BHK,5611.5,4.0,596.56,4,10631.025572485074,1.0,1402.875
Shampura,4 BHK,2650.0,4.0,138.33,4,5220.000000000001,1.0,662.5
Devanahalli,3 BHK,1282.0,2.0,66.27,3,5169.266770670827,0.6666666666666666,427.3333333333333
Kadugodi,2 BHK,1050.0,2.0,84.05,2,8004.761904761905,1.0,525.0
LB Shastri Nagar,3 BHK,1600.0,3.0,90.46,3,5653.75,1.0,533.3333333333334
Vajarahalli,2 BHK,945.0,2.0,51.76,2,5477.248677248677,1.0,472.5
Hormavu,2 BHK,1500.0,2.0,69.54,2,4636.000000000001,1.0,750.0
Peenya,3 BHK,1870.0,3.0,125.89,3,6732.085561497326,1.0,623.3333333333334
Sarjapur,3 Bedroom,1600.0,3.0,149.33,3,9333.125000000002,1.0,533.3333333333334
Electronic City,2 BHK,880.0,1.0,54.4,2,6181.818181818182,0.5,440.0
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,228.35,4,19029.166666666668,1.0,300.0
Kudlu Gate,3 BHK,1535.0,3.0,127.87,3,8330.29315960912,1.0,511.6666666666667
Kanakpura Road,2 BHK,950.0,2.0,49.58,2,5218.9473684210525,1.0,475.0
Devanahalli,2 BHK,1360.0,2.0,66.0,2,4852.941176470588,1.0,680.0
8th Phase JP Nagar,2 BHK,1073.5,2.0,46.57,2,4338.146250582207,1.0,536.75
Bommasandra Industrial Area,3 BHK,1280.0,3.0,37.03,3,2892.96875,1.0,426.6666666666667
Chandra Layout,3 BHK,1260.0,2.0,105.12,3,8342.857142857143,0.6666666666666666,420.0
Hennur Road,8 Bedroom,5000.0,8.0,320.3,8,6406.0,1.0,625.0
Yelahanka,5 BHK,3050.0,5.0,271.48,5,8900.983606557376,1.0,610.0
Kasavanhalli,3 BHK,1563.05,3.0,90.74,3,5805.31652858194,1.0,521.0166666666667
ISRO Layout,2 BHK,1000.0,2.0,55.83,2,5583.0,1.0,500.0
Anandapura,2 BHK,1167.0,2.0,48.36,2,4143.958868894601,1.0,583.5
Vishveshwarya Layout,7 BHK,4000.0,7.0,200.6,7,5015.0,1.0,571.4285714285714
Kothanur,3 BHK,1828.0,3.0,95.18,3,5206.783369803064,1.0,609.3333333333334
Kengeri Satellite Town,2 BHK,890.0,2.0,38.3,2,4303.3707865168535,1.0,445.0
Basavanapura,3 BHK,1612.0,3.0,82.08,3,5091.811414392059,1.0,537.3333333333334
Mysore Road,3 BHK,1710.0,4.0,88.92,3,5200.0,1.3333333333333333,570.0
Kannamangala,2 BHK,957.0,2.0,54.07,2,5649.947753396029,1.0,478.5
 Devarachikkanahalli,3 BHK,1250.0,2.0,51.38,3,4110.4,0.6666666666666666,416.6666666666667
Sanjeevini Nagar,3 BHK,2795.0,4.0,246.46,3,8817.88908765653,1.3333333333333333,931.6666666666666
Hulimavu,2 BHK,1125.0,2.0,60.34,2,5363.555555555556,1.0,562.5
Electronic City Phase II,2 BHK,1020.0,2.0,29.92,2,2933.3333333333335,1.0,510.0
Kalena Agrahara,2 BHK,1200.0,2.0,58.9,2,4908.333333333333,1.0,600.0
Thanisandra,3 BHK,1735.0,3.0,142.39,3,8206.916426512968,1.0,578.3333333333334
Thanisandra,3 BHK,2050.0,3.0,174.35,3,8504.878048780487,1.0,683.3333333333334
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,400.95,4,10692.0,1.0,937.5
Yarandahalli,3 BHK,1350.0,2.0,51.44,3,3810.3703703703704,0.6666666666666666,450.0
Hosa Road,2 BHK,1063.0,2.0,48.93,2,4603.010348071496,1.0,531.5
Keshava Nagar,3 BHK,1904.0,3.0,153.5,3,8061.9747899159665,1.0,634.6666666666666
Whitefield,4 Bedroom,4200.0,4.0,395.14,4,9408.095238095239,1.0,1050.0
RMV Extension,3 BHK,2000.0,3.0,107.28,3,5364.0,1.0,666.6666666666666
Sarjapur,2 BHK,1242.5,2.0,117.75,2,9476.861167002013,1.0,621.25
Tejaswini Nagar,3 BHK,1425.0,2.0,56.74,3,3981.754385964912,0.6666666666666666,475.0
Electronic City,3 BHK,1500.0,2.0,94.5,3,6300.0,0.6666666666666666,500.0
Electronic City,2 BHK,1060.0,2.0,62.65,2,5910.377358490566,1.0,530.0
Jai Bheema Nagar,3 BHK,1470.0,2.0,64.14,3,4363.265306122449,0.6666666666666666,490.0
Attibele,1 BHK,450.0,1.0,23.32,1,5182.222222222223,1.0,450.0
Electronic City,2 BHK,1152.0,2.0,67.61,2,5868.923611111111,1.0,576.0
Electronic City,3 BHK,1350.0,2.0,87.9,3,6511.111111111111,0.6666666666666666,450.0
CV Raman Nagar,3 BHK,1550.0,3.0,78.79,3,5083.225806451614,1.0,516.6666666666666
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,105.62,3,7041.333333333333,1.0,500.0
Nagavara,1 Bedroom,400.0,1.0,18.32,1,4580.0,1.0,400.0
Malleshwaram,1 BHK,705.0,1.0,87.89,1,12466.666666666666,1.0,705.0
Electronic City,2 BHK,770.0,1.0,46.27,2,6009.090909090909,0.5,385.0
Hulimavu,2 BHK,1242.0,2.0,67.96,2,5471.8196457326885,1.0,621.0
Hebbal Kempapura,3 BHK,1700.0,3.0,159.49,3,9381.764705882353,1.0,566.6666666666666
Thanisandra,3 BHK,2144.0,3.0,173.24,3,8080.223880597015,1.0,714.6666666666666
Vijayanagar,3 BHK,1704.0,3.0,160.11,3,9396.126760563382,1.0,568.0
Electronic City,2 BHK,1070.0,2.0,63.32,2,5917.757009345794,1.0,535.0
8th block Koramangala,3 Bedroom,1846.0,3.0,259.53,3,14059.0465872156,1.0,615.3333333333334
Jakkuru Layout,2 BHK,1340.0,2.0,57.98,2,4326.865671641791,1.0,670.0
Electronic City,2 BHK,1025.0,2.0,61.82,2,6031.219512195122,1.0,512.5
KR Puram,2 BHK,1277.5,2.0,93.67,2,7332.2896281800395,1.0,638.75
Marathahalli,2 BHK,1200.0,2.0,108.52,2,9043.333333333334,1.0,600.0
Kanakpura Road,4 Bedroom,2250.0,4.0,118.91,4,5284.888888888889,1.0,562.5
Pattandur Agrahara,3 BHK,1550.0,2.0,79.73,3,5143.870967741936,0.6666666666666666,516.6666666666666
Bellandur,4 Bedroom,1200.0,5.0,133.58,4,11131.666666666668,1.25,300.0
Marathahalli,2 BHK,1200.0,2.0,108.71,2,9059.166666666666,1.0,600.0
Yelahanka,2 BHK,1327.0,2.0,104.85,2,7901.281085154484,1.0,663.5
Kothanur,2 BHK,1186.0,2.0,60.41,2,5093.591905564924,1.0,593.0
MS Pallya,3 Bedroom,1783.0,3.0,120.0,3,6730.2299495232755,1.0,594.3333333333334
HSR Layout,3 BHK,1400.0,3.0,165.96,3,11854.285714285714,1.0,466.6666666666667
Nagasandra,2 BHK,980.0,2.0,59.54,2,6075.510204081633,1.0,490.0
EPIP Zone,2 BHK,1285.0,2.0,82.88,2,6449.805447470817,1.0,642.5
Langford Town,3 BHK,912.0,2.0,75.71,3,8301.535087719298,0.6666666666666666,304.0
Whitefield,2 BHK,1225.0,2.0,115.71,2,9445.714285714286,1.0,612.5
Whitefield,2 BHK,1075.0,2.0,101.75,2,9465.116279069767,1.0,537.5
Kadugodi,3 BHK,1260.0,2.0,102.26,3,8115.873015873016,0.6666666666666666,420.0
Yelahanka,3 BHK,1282.0,2.0,103.41,3,8066.302652106085,0.6666666666666666,427.3333333333333
Kogilu,3 BHK,1909.0,3.0,91.23,3,4778.941854374018,1.0,636.3333333333334
Panathur,2 BHK,1359.0,2.0,124.81,2,9183.958793230317,1.0,679.5
Nagondanahalli,2 BHK,1207.0,2.0,47.05,2,3898.0944490472243,1.0,603.5
Padmanabhanagar,4 Bedroom,1736.0,6.0,107.18,4,6173.963133640553,1.5,434.0
1st Block Jayanagar,4 BHK,2850.0,4.0,366.22,4,12849.82456140351,1.0,712.5
Kammasandra,3 BHK,1595.0,3.0,49.83,3,3124.137931034483,1.0,531.6666666666666
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,92.31,3,5134.037819799778,1.0,599.3333333333334
Electronics City Phase 1,3 BHK,1475.0,3.0,73.07,3,4953.8983050847455,1.0,491.6666666666667
Tala Cauvery Layout,3 BHK,1580.0,3.0,103.92,3,6577.215189873417,1.0,526.6666666666666
Dasarahalli,2 BHK,1295.0,2.0,84.41,2,6518.146718146718,1.0,647.5
Magadi Road,6 Bedroom,3600.0,6.0,191.66,6,5323.888888888889,1.0,600.0
Electronic City,1 BHK,589.0,1.0,32.18,1,5463.497453310696,1.0,589.0
Ngef Layout,3 BHK,1415.0,3.0,163.84,3,11578.798586572439,1.0,471.6666666666667
Sarjapur  Road,3 BHK,1787.0,3.0,102.2,3,5719.082260772244,1.0,595.6666666666666
Sarjapur  Road,3 BHK,1787.0,3.0,101.02,3,5653.049804141018,1.0,595.6666666666666
Koramangala,3 BHK,1475.0,2.0,205.08,3,13903.728813559323,0.6666666666666666,491.6666666666667
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,79.28,4,3964.0,1.0,500.0
Sarjapur  Road,2 BHK,984.0,2.0,57.58,2,5851.626016260163,1.0,492.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.77,3,10842.827442827444,1.3333333333333333,801.6666666666666
7th Phase JP Nagar,2 BHK,1080.0,2.0,70.96,2,6570.3703703703695,1.0,540.0
Shantiniketan Layout,2 Bedroom,1500.0,2.0,77.62,2,5174.666666666667,1.0,750.0
Hebbal,3 BHK,1900.0,3.0,201.63,3,10612.105263157895,1.0,633.3333333333334
Dommasandra,2 BHK,805.0,2.0,24.95,2,3099.3788819875776,1.0,402.5
Budigere,2 BHK,1153.0,2.0,59.89,2,5194.275802254987,1.0,576.5
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,68.43,2,5960.801393728224,1.0,574.0
Mylasandra,2 BHK,1110.0,2.0,53.86,2,4852.252252252252,1.0,555.0
Electronic City,2 BHK,1100.0,2.0,65.56,2,5960.0,1.0,550.0
Kalyan nagar,2 BHK,1290.0,2.0,70.11,2,5434.883720930233,1.0,645.0
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,67.94,3,4529.333333333333,0.6666666666666666,500.0
Bank Of Baroda Colony,2 BHK,1080.0,2.0,143.19,2,13258.333333333334,1.0,540.0
Vijayanagar,3 BHK,1933.0,3.0,179.71,3,9296.947749612002,1.0,644.3333333333334
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,185.29,5,5294.0,1.0,700.0
Kullappa Colony,2 BHK,1060.0,2.0,57.3,2,5405.66037735849,1.0,530.0
Chandapura,1 BHK,645.0,1.0,39.66,1,6148.8372093023245,1.0,645.0
Mukkutam Nagar,8 Bedroom,2600.0,8.0,198.9,8,7650.0,1.0,325.0
Chandapura,1 BHK,645.0,1.0,37.22,1,5770.542635658915,1.0,645.0
Ashwath Nagar,3 BHK,1644.0,3.0,86.28,3,5248.175182481752,1.0,548.0
Ncpr Industrial Layout,2 BHK,1285.0,2.0,71.21,2,5541.634241245136,1.0,642.5
Electronic City,3 Bedroom,1200.0,3.0,74.88,3,6240.0,1.0,400.0
Electronic City,2 BHK,910.0,2.0,56.57,2,6216.483516483517,1.0,455.0
Kothanur,3 BHK,1577.0,3.0,78.35,3,4968.294229549778,1.0,525.6666666666666
Meenakunte,3 Bedroom,4050.0,3.0,255.47,3,6307.901234567901,1.0,1350.0
OMBR Layout,3 BHK,2420.0,3.0,145.15,3,5997.93388429752,1.0,806.6666666666666
Chandapura,2 BHK,800.0,1.0,47.29,2,5911.25,0.5,400.0
Anand Nagar,2 BHK,1060.0,2.0,71.26,2,6722.641509433963,1.0,530.0
7th Phase JP Nagar,2 BHK,1270.0,2.0,83.32,2,6560.6299212598415,1.0,635.0
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,32.18,2,3575.5555555555557,1.0,450.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,68.76,2,5371.875000000001,1.0,640.0
Horamavu Agara,4 Bedroom,1200.0,2.0,49.9,4,4158.333333333333,0.5,300.0
Sarjapur  Road,2 BHK,1025.0,2.0,55.81,2,5444.878048780488,1.0,512.5
Electronic City,2 BHK,1108.0,2.0,70.72,2,6382.671480144404,1.0,554.0
Coffee Board Layout,3 BHK,3045.0,3.0,164.25,3,5394.088669950739,1.0,1015.0
Ambedkar Nagar,4 Bedroom,2900.0,3.0,194.07,4,6692.068965517241,0.75,725.0
Vijayanagar,3 BHK,1500.0,3.0,146.74,3,9782.666666666666,1.0,500.0
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,59.43,2,4589.189189189189,1.0,647.5
Budigere,2 BHK,1162.0,2.0,55.99,2,4818.4165232358,1.0,581.0
Sarjapur  Road,2 BHK,1035.0,2.0,58.3,2,5632.850241545893,1.0,517.5
Attibele,4 Bedroom,1600.0,4.0,94.3,4,5893.75,1.0,400.0
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,60.68,3,4144.808743169399,1.0,488.0
Hennur Road,3 BHK,1866.0,2.0,108.83,3,5832.261521972133,0.6666666666666666,622.0
Geleyara Balaga Layout,2 BHK,700.0,1.0,25.55,2,3650.0,0.5,350.0
Kalena Agrahara,3 BHK,1804.0,3.0,95.09,3,5271.064301552106,1.0,601.3333333333334
Sarjapur,2 BHK,913.0,2.0,83.24,2,9117.196056955092,1.0,456.5
Talaghattapura,3 BHK,1868.0,3.0,117.59,3,6294.967880085653,1.0,622.6666666666666
Kengeri Satellite Town,2 BHK,883.0,2.0,35.71,2,4044.167610419026,1.0,441.5
Sundara Nagar,2 Bedroom,900.0,2.0,105.46,2,11717.777777777777,1.0,450.0
Kogilu,3 BHK,1664.0,2.0,74.88,3,4500.0,0.6666666666666666,554.6666666666666
Hegde Nagar,3 BHK,2026.0,3.0,137.63,3,6793.188548864759,1.0,675.3333333333334
Balagere,2 BHK,1210.0,2.0,75.02,2,6200.0,1.0,605.0
Meenakunte,4 Bedroom,4111.0,4.0,267.83,4,6514.959863780102,1.0,1027.75
Kadugodi,3 BHK,1762.0,3.0,147.27,3,8358.11577752554,1.0,587.3333333333334
Jigani,3 BHK,1252.0,3.0,70.75,3,5650.958466453674,1.0,417.3333333333333
Gollarapalya Hosahalli,2 BHK,861.0,2.0,36.76,2,4269.4541231126595,1.0,430.5
7th Phase JP Nagar,3 BHK,1420.0,2.0,97.58,3,6871.830985915493,0.6666666666666666,473.3333333333333
Electronics City Phase 1,3 BHK,1490.0,3.0,73.19,3,4912.080536912752,1.0,496.6666666666667
Bisuvanahalli,3 BHK,1075.0,2.0,42.84,3,3985.1162790697676,0.6666666666666666,358.3333333333333
Old Madras Road,3 BHK,1425.0,2.0,81.3,3,5705.263157894737,0.6666666666666666,475.0
Kalena Agrahara,2 BHK,1200.0,2.0,60.56,2,5046.666666666667,1.0,600.0
Kaggadasapura,3 BHK,1280.0,2.0,117.16,3,9153.125,0.6666666666666666,426.6666666666667
Silver Springs Layout,2 BHK,1084.0,2.0,52.58,2,4850.553505535056,1.0,542.0
Chandapura,2 BHK,1015.0,2.0,63.77,2,6282.758620689655,1.0,507.5
Kanakpura Road,2 BHK,1017.0,2.0,51.44,2,5058.013765978368,1.0,508.5
Haralur Road,2 BHK,1027.0,2.0,95.34,2,9283.349561830575,1.0,513.5
Electronic City Phase II,2 BHK,1069.0,2.0,30.69,2,2870.907390084191,1.0,534.5
Hebbal,2 BHK,1349.0,2.0,139.72,2,10357.301704966641,1.0,674.5
9th Phase JP Nagar,2 BHK,1005.0,2.0,48.73,2,4848.756218905472,1.0,502.5
Jakkur,2 BHK,1417.0,2.0,89.84,2,6340.15525758645,1.0,708.5
TC Palaya,3 Bedroom,1475.0,3.0,79.21,3,5370.169491525423,1.0,491.6666666666667
Maruthi Sevanagar,2 BHK,950.0,2.0,58.39,2,6146.315789473684,1.0,475.0
RMV 2nd Stage,4 BHK,2000.0,4.0,258.06,4,12903.0,1.0,500.0
Sarjapur  Road,4 BHK,1863.0,3.0,107.74,4,5783.145464304885,0.75,465.75
Singasandra,2 BHK,1010.0,2.0,47.07,2,4660.39603960396,1.0,505.0
Kalena Agrahara,3 BHK,1425.0,2.0,73.24,3,5139.649122807017,0.6666666666666666,475.0
Vijayanagar,3 BHK,1450.0,3.0,134.65,3,9286.206896551725,1.0,483.3333333333333
Kothanur,3 BHK,1847.0,3.0,93.0,3,5035.192203573362,1.0,615.6666666666666
AECS Layout,2 BHK,1100.0,2.0,53.08,2,4825.454545454545,1.0,550.0
Kanakpura Road,1 BHK,525.0,1.0,25.27,1,4813.333333333333,1.0,525.0
Mallasandra,3 BHK,1665.0,3.0,89.61,3,5381.981981981982,1.0,555.0
Begur,4 BHK,1664.0,4.0,88.44,4,5314.903846153846,1.0,416.0
JP Nagar,3 BHK,1850.0,3.0,158.32,3,8557.837837837838,1.0,616.6666666666666
Panathur,2 BHK,1438.0,2.0,135.63,2,9431.849791376912,1.0,719.0
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,99.93,3,6405.7692307692305,1.0,520.0
Yelahanka,2 BHK,1350.0,2.0,108.96,2,8071.111111111111,1.0,675.0
