area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767,3.0,1.0,188.72,10680.0,1767.0,3.0
Super built-up  Area,18-Nov, Thanisandra,1 RK,510,1.0,0.0,24.38,4781.0,510.0,1.0
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250,3.0,2.0,56.95,4556.0,1250.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660,1.0,1.0,38.79,5877.0,660.0,2.0
Built-up  Area,20-Dec,Whitefield,3 BHK,1610,3.0,2.0,151.66,9420.0,1610.0,3.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151,2.0,2.0,51.58,4481.0,1151.0,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025,2.0,1.0,63.51,6196.0,1025.0,3.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2100 - 2850,4.0,0.0,212.75,8596.0,2475.0,4.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,45.59,4241.0,1075.0,3.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760,2.0,2.0,177.34,10076.0,1760.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693,3.0,3.0,72.48,4281.0,1693.0,3.0
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925,3.0,,183.8,9548.0,1925.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,35.64,5092.0,700.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070,2.0,1.0,52.67,4922.0,1070.0,2.0
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3.0,2.0,131.77,7643.0,1724.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290,2.0,2.0,55.81,4326.0,1290.0,3.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143,2.0,2.0,44.59,3901.0,1143.0,2.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296,2.0,,65.18,5029.0,1296.0,2.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254,3.0,2.0,75.23,5999.0,1254.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600,1.0,0.0,37.47,6245.0,600.0,1.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660,1.0,0.0,50.21,7607.0,660.0,1.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,67.0,5035.0,1330.74,2.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970,2.0,0.0,35.33,3642.0,970.0,2.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459,2.0,1.0,132.17,9059.0,1459.0,2.0
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800,1.0,1.0,56.89,7111.0,800.0,2.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2.0,1.0,113.4,13050.0,869.0,2.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2.0,1.0,51.02,4017.0,1270.0,2.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3.0,1.0,92.75,5554.0,1670.0,3.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3.0,2.0,187.98,9352.0,2010.0,3.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2.0,2.0,78.27,6605.0,1185.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2.0,3.0,124.85,7803.0,1600.0,3.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,83.2,6933.0,1200.0,2.0
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3010 - 3410,,,168.94,5263.0,3210.0,4.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2.0,2.0,170.85,11390.0,1500.0,2.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2.0,2.0,81.59,9713.0,840.0,2.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395,3.0,2.0,258.34,5878.0,4395.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2.0,1.0,52.13,6169.0,845.0,2.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700,5.0,3.0,565.5,9921.0,5700.0,4.0
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2.0,2.0,99.13,8546.0,1160.0,2.0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000,8.0,0.0,252.6,8420.0,3000.0,8.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2.0,1.0,40.12,3647.0,1100.0,2.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2.0,3.0,48.67,4269.0,1140.0,2.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2.0,1.0,112.14,9192.0,1220.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2.0,1.0,51.45,5119.0,1005.0,2.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2.0,1.0,94.07,6927.0,1358.0,2.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3.0,1.0,105.95,6753.0,1569.0,3.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2.0,1.0,120.84,9745.0,1240.0,2.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3.0,2.0,126.09,6036.0,2089.0,3.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2.0,1.0,46.35,3843.0,1206.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2.0,3.0,55.54,4830.0,1150.0,2.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3.0,3.0,176.8,7041.0,2511.0,3.0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400,6.0,3.0,292.95,6658.0,4400.0,6.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2.0,2.0,107.55,6479.0,1660.0,3.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,2957 - 3450,,,204.38,6380.0,3203.5,4.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2.0,2.0,104.71,7897.0,1326.0,2.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2.0,2.0,62.34,4705.0,1325.0,3.0
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5.0,2.0,107.43,7167.0,1499.0,3.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7.0,2.0,224.04,7468.0,3000.0,6.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3.0,2.0,86.95,5222.0,1665.0,3.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2.0,2.0,36.26,5122.0,708.0,2.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2.0,2.0,59.48,5611.0,1060.0,2.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2.0,2.0,64.81,6481.0,1000.0,2.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2.0,1.0,57.85,5785.0,1000.0,2.0
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2.0,2.0,63.55,4383.0,1450.0,3.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4.0,2.0,73.31,6109.0,1200.0,4.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2.0,3.0,103.72,8003.0,1296.0,2.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3.0,2.0,201.17,13063.0,1540.0,3.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894,4.0,1.0,186.66,6450.0,2894.0,4.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2.0,1.0,46.96,3531.0,1330.0,3.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2.0,1.0,53.16,4430.0,1200.0,2.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3.0,1.0,111.89,9324.0,1200.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3.0,3.0,142.06,5678.0,2502.0,3.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1.0,1.0,36.65,5639.0,650.0,2.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2.0,1.0,115.46,4811.0,2400.0,3.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2.0,2.0,39.25,3898.0,1007.0,2.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2.0,2.0,60.84,5070.0,1200.0,2.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2.0,2.0,63.54,6578.0,966.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2.0,1.0,137.47,8434.0,1630.0,3.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3.0,2.0,230.91,14080.0,1640.0,3.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2.0,2.0,41.81,5346.0,782.0,2.0
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2.0,2.0,62.72,4978.0,1260.0,2.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3.0,3.0,146.9,8161.0,1800.0,3.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2.0,2.0,95.15,6734.0,1413.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2.0,1.0,99.83,8945.0,1116.0,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2.0,1.0,90.97,5946.0,1530.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4.0,1.0,187.11,5057.0,3700.0,4.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3.0,2.0,150.22,6016.0,2497.0,3.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2.0,3.0,89.37,5803.0,1540.0,3.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3.0,1.0,119.89,8349.0,1436.0,3.0
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2.0,2.0,138.48,12589.0,1100.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3.0,2.0,115.52,8095.0,1427.0,3.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3.0,1.0,162.49,7884.0,2061.0,3.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,3067 - 8156,4.0,0.0,596.56,10631.0,5611.5,4.0
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4.0,2.0,138.33,5220.0,2650.0,4.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2.0,2.0,66.27,5169.0,1282.0,3.0
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2.0,1.0,84.05,8005.0,1050.0,2.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3.0,2.0,90.46,5654.0,1600.0,3.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2.0,1.0,51.76,5477.0,945.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2.0,1.0,69.54,4636.0,1500.0,2.0
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3.0,3.0,125.89,6732.0,1870.0,3.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3.0,1.0,149.33,9333.0,1600.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1.0,1.0,54.4,6182.0,880.0,2.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4.0,0.0,228.35,19029.0,1200.0,4.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3.0,2.0,127.87,8330.0,1535.0,3.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,49.58,5219.0,950.0,2.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2.0,1.0,66.0,4853.0,1360.0,2.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1042 - 1105,2.0,0.0,46.57,4338.0,1073.5,2.0
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3.0,1.0,37.03,2893.0,1280.0,3.0
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2.0,2.0,105.12,8343.0,1260.0,3.0
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000,8.0,,320.3,6406.0,5000.0,8.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5.0,1.0,271.48,8901.0,3050.0,5.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,90.74,5805.0,1563.05,3.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2.0,1.0,55.83,5583.0,1000.0,2.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2.0,1.0,48.36,4144.0,1167.0,2.0
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7.0,2.0,200.6,5015.0,4000.0,7.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3.0,,95.18,5207.0,1828.0,3.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2.0,1.0,38.3,4303.0,890.0,2.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3.0,3.0,82.08,5092.0,1612.0,3.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4.0,2.0,88.92,5200.0,1710.0,3.0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2.0,1.0,54.07,5650.0,957.0,2.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2.0,3.0,51.38,4110.0,1250.0,3.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4.0,,246.46,8818.0,2795.0,3.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2.0,2.0,60.34,5364.0,1125.0,2.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2.0,1.0,29.92,2933.0,1020.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,2.0,58.9,4908.0,1200.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3.0,3.0,142.39,8207.0,1735.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3.0,1.0,174.35,8505.0,2050.0,3.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750,4.0,0.0,400.95,10692.0,3750.0,4.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2.0,3.0,51.44,3810.0,1350.0,3.0
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2.0,1.0,48.93,4603.0,1063.0,2.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3.0,1.0,153.5,8062.0,1904.0,3.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200,4.0,2.0,395.14,9408.0,4200.0,4.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3.0,1.0,107.28,5364.0,2000.0,3.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1145 - 1340,2.0,0.0,117.75,9477.0,1242.5,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2.0,2.0,56.74,3982.0,1425.0,3.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,94.5,6300.0,1500.0,3.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,62.65,5910.0,1060.0,2.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2.0,2.0,64.14,4363.0,1470.0,3.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1.0,1.0,23.32,5182.0,450.0,1.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2.0,1.0,67.61,5869.0,1152.0,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2.0,1.0,87.9,6511.0,1350.0,3.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3.0,3.0,78.79,5083.0,1550.0,3.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3.0,2.0,105.62,7041.0,1500.0,3.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1.0,0.0,18.32,4580.0,400.0,1.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1.0,2.0,87.89,12466.0,705.0,1.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,46.27,6009.0,770.0,2.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2.0,3.0,67.96,5472.0,1242.0,2.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3.0,2.0,159.49,9382.0,1700.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3.0,2.0,173.24,8080.0,2144.0,3.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3.0,2.0,160.11,9396.0,1704.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,63.32,5918.0,1070.0,2.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846,3.0,2.0,259.53,14059.0,1846.0,3.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2.0,2.0,57.98,4327.0,1340.0,2.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,61.82,6031.0,1025.0,2.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1015 - 1540,2.0,0.0,93.67,7332.0,1277.5,2.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,108.52,9043.0,1200.0,2.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250,4.0,1.0,118.91,5285.0,2250.0,4.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2.0,3.0,79.73,5144.0,1550.0,3.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200,5.0,,133.58,11132.0,1200.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,108.71,9059.0,1200.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2.0,2.0,104.85,7901.0,1327.0,2.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2.0,2.0,60.41,5094.0,1186.0,2.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783,3.0,1.0,120.0,6730.0,1783.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3.0,2.0,165.96,11854.0,1400.0,3.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2.0,1.0,59.54,6075.0,980.0,2.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2.0,2.0,82.88,6450.0,1285.0,2.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2.0,1.0,75.71,8302.0,912.0,3.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2.0,2.0,115.71,9446.0,1225.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2.0,1.0,101.75,9465.0,1075.0,2.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2.0,2.0,102.26,8116.0,1260.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2.0,2.0,103.41,8066.0,1282.0,3.0
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3.0,2.0,91.23,4779.0,1909.0,3.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2.0,1.0,124.81,9184.0,1359.0,2.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2.0,2.0,47.05,3898.0,1207.0,2.0
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736,6.0,0.0,107.18,6174.0,1736.0,4.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4.0,1.0,366.22,12850.0,2850.0,4.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3.0,2.0,49.83,3124.0,1595.0,3.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798,3.0,2.0,92.31,5134.0,1798.0,3.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3.0,2.0,73.07,4954.0,1475.0,3.0
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3.0,3.0,103.92,6577.0,1580.0,3.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2.0,1.0,84.41,6518.0,1295.0,2.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600,6.0,0.0,191.66,5324.0,3600.0,6.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1.0,1.0,32.18,5463.0,589.0,1.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3.0,3.0,163.84,11579.0,1415.0,3.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3.0,2.0,102.2,5719.0,1787.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3.0,2.0,101.02,5653.0,1787.0,3.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2.0,3.0,205.08,13904.0,1475.0,3.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4.0,1.0,79.28,3964.0,2000.0,4.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2.0,1.0,57.58,5852.0,984.0,2.0
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1520 - 1740,,,81.14,4978.0,1630.0,3.0
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4.0,2.0,260.77,10843.0,2405.0,3.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2.0,2.0,70.96,6570.0,1080.0,2.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2.0,1.0,77.62,5175.0,1500.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3.0,2.0,201.63,10612.0,1900.0,3.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2.0,1.0,24.95,3099.0,805.0,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,59.89,5194.0,1153.0,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2.0,2.0,68.43,5961.0,1148.0,2.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2.0,2.0,53.86,4852.0,1110.0,2.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,2.0,65.56,5960.0,1100.0,2.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2.0,2.0,70.11,5435.0,1290.0,2.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2.0,1.0,67.94,4529.0,1500.0,3.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2.0,2.0,143.19,13258.0,1080.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3.0,1.0,179.71,9297.0,1933.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500,5.0,2.0,185.29,5294.0,3500.0,5.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2.0,2.0,57.3,5406.0,1060.0,2.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1.0,1.0,39.66,6149.0,645.0,1.0
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600,8.0,2.0,198.9,7650.0,2600.0,8.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,645,1.0,1.0,37.22,5771.0,645.0,1.0
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3.0,3.0,86.28,5248.0,1644.0,3.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2.0,3.0,71.21,5542.0,1285.0,2.0
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200,3.0,1.0,74.88,6240.0,1200.0,3.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2.0,1.0,56.57,6217.0,910.0,2.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3.0,1.0,78.35,4968.0,1577.0,3.0
Plot  Area,17-May,Meenakunte,3 Bedroom,4050,3.0,2.0,255.47,6308.0,4050.0,3.0
