area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869,2.0,1.0,36.0,7890
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270,2.0,1.0,50.0,12838
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670,3.0,1.0,99.0,9393
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010,3.0,2.0,91.0,10265
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185,2.0,2.0,75.0,14627
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,2.0,3.0,75.0,6047
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200,2.0,2.0,44.0,12792
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3010 - 3410,,,192.0,14555
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500,2.0,2.0,185.0,9051
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407,4.0,1.0,150.0,8658
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840,2.0,2.0,45.0,14253
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395,3.0,2.0,240.0,12433
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845,2.0,1.0,55.0,11734
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700,5.0,3.0,650.0,10265
Built-up  Area,Ready To Move,Varthur,2 BHK,1160,2.0,2.0,44.0,14233
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,3000,8.0,0.0,140.0,11513
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1100,2.0,1.0,62.0,5528
Super built-up  Area,18-Apr,Gunjur,2 BHK,1140,2.0,3.0,43.0,6612
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1220,2.0,1.0,57.0,9578
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,1350,7.0,0.0,85.0,11041
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1005,2.0,1.0,36.68,13998
Plot  Area,Ready To Move,Double Road,3 Bedroom,500,3.0,2.0,100.0,13555
Super built-up  Area,20-Aug,Begur Road,2 BHK,1358,2.0,1.0,80.58,12792
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1569,3.0,1.0,101.0,10235
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1240,2.0,1.0,70.0,9486
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2089,3.0,2.0,140.0,11099
Super built-up  Area,Ready To Move,Kothannur,2 BHK,1206,2.0,1.0,48.23,13670
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1150,2.0,3.0,40.0,14748
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,2511,3.0,3.0,205.0,4775
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,460,1.0,0.0,22.0,12226
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,4400,6.0,3.0,250.0,7152
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,1660,2.0,2.0,105.0,14147
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,2957 - 3450,,,224.5,11099
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1326,2.0,2.0,78.0,6047
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2.0,2.0,60.8,5585
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5.0,2.0,102.0,7943
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,3000,7.0,2.0,210.0,10235
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3.0,2.0,88.0,13998
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2.0,2.0,37.0,11555
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2.0,2.0,58.06,7073
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,710,6.0,3.0,160.0,8426
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2.0,2.0,70.0,5021
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2.0,1.0,28.88,6558
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,1450,2.0,2.0,70.0,14805
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,1200,4.0,2.0,155.0,7152
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2.0,3.0,80.0,7385
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3.0,2.0,90.0,7843
Plot  Area,Ready To Move,Kengeri,4 Bedroom,2894,4.0,1.0,245.0,5184
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2.0,1.0,48.0,11989
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2.0,1.0,65.0,13692
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,1200,3.0,1.0,90.0,10873
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3.0,3.0,138.0,9675
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1.0,1.0,17.0,4161
Plot  Area,Ready To Move,Kothanur,3 Bedroom,2400,2.0,1.0,150.0,9734
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2.0,2.0,43.0,8297
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2.0,2.0,50.0,14173
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2.0,2.0,49.9,4995
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2.0,1.0,98.0,11629
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3.0,2.0,229.0,8426
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2.0,2.0,55.68,13467
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2.0,2.0,66.78,14555
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3.0,3.0,120.0,5016
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2.0,2.0,75.0,11869
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2.0,1.0,51.91,10265
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2.0,1.0,45.9,6558
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,3700,4.0,1.0,225.0,10439
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,2497,3.0,2.0,140.0,5899
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2.0,3.0,64.0,5184
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3.0,1.0,74.75,7385
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2.0,2.0,75.0,11892
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,276,3.0,3.0,23.0,11099
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3.0,2.0,120.0,7385
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3.0,1.0,200.0,10863
Super built-up  Area,18-Mar,Hebbal,4 BHK,3067 - 8156,4.0,0.0,477.0,6747
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4.0,2.0,150.0,11916
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2.0,2.0,68.52,14555
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2.0,1.0,34.0,12529
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3.0,2.0,65.0,4878
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2.0,1.0,54.0,13268
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2.0,1.0,78.0,8887
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,950,7.0,0.0,115.0,8859
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3.0,3.0,110.0,4995
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1600,3.0,1.0,75.0,14583
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1.0,1.0,16.5,6558
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4.0,0.0,210.0,10331
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3.0,2.0,83.0,12571
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2.0,1.0,57.0,13998
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2.0,1.0,65.0,14555
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1042 - 1105,2.0,0.0,54.005,12684
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3.0,1.0,50.4,11208
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2.0,2.0,85.05,9276
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,5000,8.0,,250.0,11099
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5.0,1.0,213.0,6047
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3.0,1.0,105.0,7073
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2.0,1.0,60.0,7152
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2.0,1.0,43.76,6062
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7.0,2.0,225.0,4064
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3.0,,110.0,9734
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2.0,1.0,35.0,12006
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3.0,3.0,46.74,6568
Plot  Area,Ready To Move,Dinnur,6 Bedroom,1034,5.0,,185.0,9463
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4.0,2.0,91.31,10949
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2.0,1.0,58.0,6027
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,1250,2.0,3.0,44.0,6695
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4.0,,235.0,13687
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2.0,2.0,50.0,9258
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2.0,1.0,30.6,11270
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,2.0,50.0,14748
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3.0,3.0,135.0,7385
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3.0,1.0,145.0,7385
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,3750,4.0,0.0,760.0,9618
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2.0,3.0,48.0,10736
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2.0,1.0,32.0,4391
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3.0,1.0,150.0,9892
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4200,4.0,2.0,420.0,10265
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3.0,1.0,175.0,7561
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1145 - 1340,2.0,0.0,43.49,14583
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2.0,2.0,75.0,14470
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,64.5,6558
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2.0,1.0,60.0,6558
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2.0,2.0,70.0,10184
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6.0,0.0,99.0,7099
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1.0,1.0,11.0,10278
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2.0,1.0,64.5,6558
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2.0,1.0,56.0,6558
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3.0,3.0,65.0,12392
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,1500,3.0,2.0,100.0,7104
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,600,3.0,2.0,85.0,11215
Plot  Area,Ready To Move,Nagavara,1 Bedroom,400,1.0,0.0,14.0,6454
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1.0,2.0,67.0,11892
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,36.0,6558
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2.0,3.0,51.0,9258
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3.0,2.0,155.0,12996
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3.0,2.0,145.0,7385
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3.0,2.0,110.0,6731
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2.0,1.0,52.0,6558
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,1846,3.0,2.0,300.0,14965
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2.0,2.0,55.7,12154
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2.0,1.0,46.0,6558
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1015 - 1540,2.0,0.0,56.8,7556
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,52.0,9578
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,2250,4.0,1.0,110.0,13998
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2.0,3.0,80.0,13762
Plot  Area,Ready To Move,Bellandur,4 Bedroom,1200,5.0,,325.0,10396
Plot  Area,Ready To Move,Ejipura,7 Bedroom,1800,7.0,1.0,250.0,9056
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2.0,2.0,60.0,9578
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2.0,2.0,98.0,6047
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2.0,2.0,58.0,9734
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,1783,3.0,1.0,115.0,12110
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3.0,2.0,56.0,5267
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2.0,1.0,48.0,14882
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2.0,2.0,82.0,7943
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2.0,1.0,70.0,7840
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2.0,2.0,47.6,10265
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2.0,1.0,53.0,10265
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2.0,2.0,54.0,12529
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2.0,2.0,48.7,6047
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3.0,2.0,88.0,5028
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2.0,1.0,87.0,11385
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2.0,2.0,43.5,4502
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,1736,6.0,0.0,190.0,10910
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4.0,1.0,428.0,13062
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3.0,2.0,65.0,10938
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,1798,3.0,2.0,89.0,8488
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3.0,2.0,78.29,4189
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3.0,3.0,100.0,4206
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2.0,1.0,65.0,9134
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,3600,6.0,0.0,141.0,9977
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1.0,1.0,27.0,6558
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3.0,3.0,78.0,11721
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3.0,2.0,98.29,5899
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3.0,2.0,125.0,5899
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2.0,3.0,90.0,11035
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4.0,1.0,75.5,5484
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2.0,1.0,44.28,5899
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1520 - 1740,,,74.82,14555
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4.0,2.0,260.0,11858
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2.0,2.0,72.0,5685
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,1500,2.0,1.0,115.0,14173
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3.0,2.0,119.0,6747
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2.0,1.0,22.14,4863
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,56.4,6790
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2.0,2.0,60.0,11408
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2.0,2.0,55.0,12755
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2.0,2.0,42.0,6558
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2.0,2.0,110.0,9116
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2.0,1.0,65.0,10019
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2.0,2.0,39.0,5757
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3.0,1.0,129.0,6731
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,3500,5.0,2.0,150.0,10439
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2.0,2.0,60.0,11574
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1.0,1.0,16.45,4161
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,2600,8.0,2.0,180.0,10374
Super built-up  Area,18-Sep,Chandapura,1 BHK,645,1.0,1.0,16.45,4161
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3.0,3.0,84.0,10892
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2.0,3.0,72.5,5678
Plot  Area,Ready To Move,Electronic City,3 Bedroom,1200,3.0,1.0,90.0,6558
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2.0,1.0,40.0,6558
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3.0,1.0,70.0,9734
Plot  Area,17-May,Meenakunte,3 Bedroom,4050,3.0,2.0,280.0,7242
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3.0,2.0,185.0,8636
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1.0,1.0,20.0,4161
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2.0,2.0,55.0,5059
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2.0,2.0,93.0,5685
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900,2.0,2.0,22.5,10668
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,1280,2.0,1.0,69.0,13914
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,1200,2.0,0.0,95.0,7157
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2.0,2.0,36.0,5899
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108,2.0,1.0,63.0,6558
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,1200,5.0,,170.0,9915
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3.0,2.0,170.0,14817
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,2900,3.0,2.0,300.0,14921
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3.0,2.0,75.5,6731
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,43.9,9311
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2.0,1.0,59.9,6790
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2.0,2.0,49.2,5899
Built-up  Area,Ready To Move,Attibele,4 Bedroom,1600,4.0,0.0,52.8,10278
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,46.0,13789
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866,2.0,2.0,61.58,11099
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1.0,1.0,26.0,6693
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3.0,2.0,120.0,14748
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2.0,1.0,32.0,14583
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868,3.0,2.0,131.0,7627
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2.0,1.0,45.0,12006
Plot  Area,Ready To Move,Sundara Nagar,2 Bedroom,900,2.0,1.0,110.0,13555
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2.0,3.0,73.95,5028
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3.0,2.0,132.0,10235
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2.0,1.0,80.9,14173
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,4111,4.0,2.0,250.0,7242
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3.0,3.0,91.45,12529
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3.0,3.0,55.0,9450
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2.0,1.0,34.5,5663
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2.0,1.0,100.0,5685
Plot  Area,Ready To Move,Srirampura,6 Bedroom,1450,6.0,0.0,250.0,13721
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3.0,1.0,78.8,4189
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,46.0,6433
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,1425,2.0,2.0,94.0,14230
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2.0,1.0,40.0,14748
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2.0,2.0,56.0,9592
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2.0,2.0,50.0,14429
Super built-up  Area,18-Jul,Chandapura,2 BHK,1015,2.0,2.0,25.88,4161
