location,total_sqft,bhk,bath,bath_per_bhk,sqft_per_bhk,price
Marathahalli,1600.0,3,3.0,1.0,533.3333333333334,145.84
Whitefield,2500.0,3,3.0,1.0,833.3333333333334,226.98
Omarbagh Layout,3317.5,4,5.0,1.25,829.375,338.98
Sir M V Nagar,4400.0,7,9.0,1.2857142857142858,628.5714285714286,138.16
Whitefield,1200.0,2,2.0,1.0,600.0,107.62
Hormavu,2400.0,3,3.0,1.0,800.0,120.79
Malleshpalya,1140.0,2,2.0,1.0,570.0,49.09
Old Airport Road,946.0,2,2.0,1.0,473.0,73.13
Banashankari Stage VI,2200.0,4,4.0,1.0,550.0,111.74
Begur Road,1200.0,2,2.0,1.0,600.0,87.74
Whitefield,1430.0,3,3.0,1.0,476.6666666666667,129.97
Hennur Road,3450.0,4,4.0,1.0,862.5,203.2
Ramagondanahalli,3350.0,3,3.0,1.0,1116.6666666666667,146.63
AECS Layout,1100.0,2,2.0,1.0,550.0,53.08
Channasandra,1310.0,3,2.0,0.6666666666666666,436.6666666666667,49.14
Whitefield,1227.0,2,2.0,1.0,613.5,111.93
Harlur,1174.0,2,2.0,1.0,587.0,107.77
Whitefield,810.0,1,1.0,1.0,810.0,68.88
Lingadheeranahalli,1519.0,3,3.0,1.0,506.3333333333333,98.74
HSR Layout,1140.0,2,2.0,1.0,570.0,130.1
Keshava Nagar,1517.0,2,2.0,1.0,758.5,126.65
Kanakpura Road,2546.0,3,3.0,1.0,848.6666666666666,128.32
7th Phase JP Nagar,990.0,2,2.0,1.0,495.0,70.38
Electronic City,1025.0,2,2.0,1.0,512.5,62.89
Amruthahalli,1200.0,2,2.0,1.0,600.0,60.78
Marathahalli,1240.0,2,2.0,1.0,620.0,110.77
KR Puram,1290.0,2,2.0,1.0,645.0,91.01
BSM Extension,975.0,2,2.0,1.0,487.5,40.72
Jigani,1020.0,2,2.0,1.0,510.0,57.62
Channasandra,1500.0,4,4.0,1.0,375.0,56.01
Brindavan Layout,1100.0,2,2.0,1.0,550.0,56.06
Ramamurthy Nagar,1170.0,2,2.0,1.0,585.0,56.42
OMBR Layout,1200.0,4,4.0,1.0,300.0,78.05
Ramanjaneyanagar,1040.0,2,2.0,1.0,520.0,46.6
Bellandur,2666.0,3,3.0,1.0,888.6666666666666,278.12
Hebbal,1420.0,2,2.0,1.0,710.0,137.7
Hallehalli,1260.0,4,4.0,1.0,315.0,65.53
Amblipura,1810.0,3,4.0,1.3333333333333333,603.3333333333334,124.62
Volagerekallahalli,1095.0,2,2.0,1.0,547.5,33.19
Whitefield,1255.0,2,2.0,1.0,627.5,113.45
Whitefield,1362.0,2,2.0,1.0,681.0,124.76
HSR Layout,1120.0,2,2.0,1.0,560.0,122.96
Ramagondanahalli,1151.0,2,2.0,1.0,575.5,47.86
Sarjapur  Road,3785.0,4,5.0,1.25,946.25,231.79
Benson Town,1400.0,4,3.0,0.75,350.0,218.11
Bhuvaneshwari Nagar,1280.0,2,2.0,1.0,640.0,65.87
Jakkur,1761.0,3,3.0,1.0,587.0,120.19
Thanisandra,1183.0,2,2.0,1.0,591.5,92.3
Yelahanka,1250.0,2,2.0,1.0,625.0,103.39
Hoodi,1240.0,2,2.0,1.0,620.0,111.14
Byadarahalli,3155.0,3,3.0,1.0,1051.6666666666667,388.54
Hennur Road,973.0,2,2.0,1.0,486.5,57.09
Devanahalli,658.0,1,1.0,1.0,658.0,32.58
Dommasandra,1090.0,2,2.0,1.0,545.0,34.73
Bannerghatta Road,1015.0,2,2.0,1.0,507.5,91.87
Green View Layout,850.0,2,2.0,1.0,425.0,33.06
Hebbal,2700.0,4,2.0,0.5,675.0,264.82
Kanakpura Road,1843.0,3,3.0,1.0,614.3333333333334,91.14
Doddathoguru,850.0,2,2.0,1.0,425.0,31.2
Kengeri,1470.0,3,3.0,1.0,490.0,90.99
Horamavu Banaswadi,1272.0,2,2.0,1.0,636.0,49.61
Malleshpalya,1060.0,2,2.0,1.0,530.0,48.76
Bannerghatta Road,1270.0,3,2.0,0.6666666666666666,423.3333333333333,109.97
Cleveland Town,1100.0,2,2.0,1.0,550.0,92.3
Hegde Nagar,1718.0,3,3.0,1.0,572.6666666666666,108.05
Panathur,1861.0,3,3.0,1.0,620.3333333333334,182.66
Kudlu Gate,3850.0,4,6.0,1.5,962.5,336.1
Whitefield,1220.0,2,2.0,1.0,610.0,108.31
Kumbalgodu,3750.0,4,4.0,1.0,937.5,195.64
5th Phase JP Nagar,1030.0,2,2.0,1.0,515.0,53.06
Vijayanagar,606.0,1,1.0,1.0,606.0,52.39
Old Madras Road,2640.0,3,5.0,1.6666666666666667,880.0,155.52
Old Madras Road,1859.0,3,3.0,1.0,619.6666666666666,112.82
Uttarahalli,1250.0,3,2.0,0.6666666666666666,416.6666666666667,53.36
Marathahalli,1100.0,2,2.0,1.0,550.0,99.06
TC Palaya,1126.0,2,2.0,1.0,563.0,61.02
Sonnenahalli,1157.0,2,2.0,1.0,578.5,56.01
Vittasandra,1259.0,2,2.0,1.0,629.5,65.01
Jakkur,1050.0,2,2.0,1.0,525.0,65.5
"Banashankari 3rd stage, Vivekanandanagar",1600.0,3,3.0,1.0,533.3333333333334,96.7
Maragondanahalli,720.0,2,2.0,1.0,360.0,35.08
Whitefield,5924.0,4,4.0,1.0,1481.0,559.76
Ardendale,2800.0,4,4.0,1.0,700.0,164.86
Akshayanagara West,1205.0,2,2.0,1.0,602.5,62.18
Syndicate Bank Colony,1200.0,3,3.0,1.0,400.0,134.4
Sarjapur  Road,2497.0,3,3.0,1.0,832.3333333333334,150.22
Chikkalasandra,1500.0,5,5.0,1.0,300.0,71.26
Doddabanahalli,830.0,2,2.0,1.0,415.0,32.78
Banashankari Stage III,1085.0,2,2.0,1.0,542.5,54.29
Chamrajpet,1660.4,4,4.0,1.0,415.1,151.2
Kasavanhalli,1000.0,3,4.0,1.3333333333333333,333.3333333333333,59.37
Mahadevpura,1120.0,2,2.0,1.0,560.0,54.59
Hennur Road,1255.0,2,2.0,1.0,627.5,75.25
Benson Town,1805.0,3,3.0,1.0,601.6666666666666,281.71
Kasavanhalli,1147.0,2,2.0,1.0,573.5,67.23
Hegde Nagar,1200.0,2,2.0,1.0,600.0,81.29
Ganesha Block,1810.0,3,3.0,1.0,603.3333333333334,174.57
Kambipura,883.0,2,2.0,1.0,441.5,39.21
Vittal Nagar,1100.0,2,2.0,1.0,550.0,48.51
Upkar Layout,1225.0,2,2.0,1.0,612.5,73.39
Yelahanka New Town,680.0,2,1.0,0.5,340.0,32.93
Electronics City Phase 1,1205.0,2,2.0,1.0,602.5,57.24
Electronics City Phase 1,638.0,1,1.0,1.0,638.0,29.07
New Thippasandra,1116.0,2,2.0,1.0,558.0,70.55
Anekal,1140.0,2,2.0,1.0,570.0,52.71
Budigere,722.0,1,1.0,1.0,722.0,36.45
Ananth Nagar,500.0,1,2.0,2.0,500.0,13.84
Kaggalipura,1150.0,3,2.0,0.6666666666666666,383.3333333333333,61.96
Ramagondanahalli,1738.0,3,2.0,0.6666666666666666,579.3333333333334,79.67
Kalena Agrahara,900.0,2,2.0,1.0,450.0,43.64
CV Raman Nagar,1028.0,2,2.0,1.0,514.0,49.61
RPC layout,1200.0,2,2.0,1.0,600.0,73.19
Kasavanhalli,1200.0,2,2.0,1.0,600.0,65.88
Ardendale,2062.0,4,3.0,0.75,515.5,124.26
Sri Balaji Krupa Layout,600.0,1,1.0,1.0,600.0,51.8
Yelahanka,2475.0,4,4.0,1.0,618.75,212.75
Haralur Road,1560.0,3,3.0,1.0,520.0,138.65
MS Pallya,1800.0,5,4.0,0.8,360.0,122.56
Kanakpura Road,1300.0,3,3.0,1.0,433.3333333333333,71.88
Dasarahalli,2400.0,3,2.0,0.6666666666666666,800.0,158.14
Malleshwaram,12000.0,7,7.0,1.0,1714.2857142857142,1714.32
Kanakpura Road,1167.0,2,2.0,1.0,583.5,58.17
Krishna Reddy Layout,1250.0,3,3.0,1.0,416.6666666666667,163.6
Whitefield,1500.0,3,3.0,1.0,500.0,137.07
Doddakammanahalli,1542.0,3,3.0,1.0,514.0,70.13
Electronic City,1210.0,2,2.0,1.0,605.0,74.49
HSR Layout,2424.0,3,3.0,1.0,808.0,274.59
Bethel Nagar,560.0,1,1.0,1.0,560.0,18.68
Raja Rajeshwari Nagar,1530.0,3,3.0,1.0,510.0,65.15
Uttarahalli,1020.0,2,2.0,1.0,510.0,39.36
Thanisandra,1436.0,3,3.0,1.0,478.6666666666667,119.89
Devanahalli,1282.0,3,2.0,0.6666666666666666,427.3333333333333,67.51
Electronic City,1089.0,2,2.0,1.0,544.5,66.45
Frazer Town,2900.0,4,4.0,1.0,725.0,393.18
Indira Nagar,2070.0,3,3.0,1.0,690.0,238.84
Bellandur,3016.0,4,4.0,1.0,754.0,303.98
Bhoganhalli,2119.0,4,4.0,1.0,529.75,115.4
Kereguddadahalli,1105.0,2,2.0,1.0,552.5,36.32
K R C kothanur,1140.0,2,2.0,1.0,570.0,41.54
Chamrajpet,1650.0,3,3.0,1.0,550.0,143.34
Somasundara Palya,1650.0,3,3.0,1.0,550.0,82.47
Bommasandra,920.0,2,2.0,1.0,460.0,35.02
Kodichikkanahalli,1495.0,3,2.0,0.6666666666666666,498.3333333333333,72.15
Banashankari Stage V,1035.0,2,2.0,1.0,517.5,38.1
Channasandra,1200.0,3,3.0,1.0,400.0,43.73
Chikkalasandra,1428.0,3,2.0,0.6666666666666666,476.0,60.68
Hoodi,1240.0,2,2.0,1.0,620.0,117.33
Akshaya Nagar,1700.0,3,3.0,1.0,566.6666666666666,141.17
Electronic City Phase II,1651.0,3,3.0,1.0,550.3333333333334,50.75
Electronic City,825.0,2,2.0,1.0,412.5,47.45
Whitefield,1738.0,3,2.0,0.6666666666666666,579.3333333333334,155.67
Malleshwaram,1410.0,2,2.0,1.0,705.0,170.03
Thigalarapalya,2215.0,3,4.0,1.3333333333333333,738.3333333333334,172.06
Dairy Circle,1541.0,2,2.0,1.0,770.5,189.85
TC Palaya,1600.0,3,2.0,0.6666666666666666,533.3333333333334,90.77
Attibele,1175.0,2,2.0,1.0,587.5,65.84
Electronic City Phase II,1400.0,3,2.0,0.6666666666666666,466.6666666666667,42.99
Benson Town,1688.0,2,2.0,1.0,844.0,244.3
Babusapalaya,1141.0,2,2.0,1.0,570.5,43.53
Uday Nagar,1650.0,3,3.0,1.0,550.0,109.56
9th Phase JP Nagar,1127.0,2,2.0,1.0,563.5,58.24
Krishna Reddy Layout,2180.0,3,3.0,1.0,726.6666666666666,281.85
AGS Layout,1450.0,3,2.0,0.6666666666666666,483.3333333333333,67.24
Panathur,1235.0,2,2.0,1.0,617.5,122.7
Thubarahalli,1885.0,3,3.0,1.0,628.3333333333334,118.6
Roopena Agrahara,1200.0,4,4.0,1.0,300.0,67.49
Margondanahalli,1448.0,3,3.0,1.0,482.6666666666667,79.1
Yemlur,1210.0,2,2.0,1.0,605.0,195.46
Nagarbhavi,1850.0,3,2.0,0.6666666666666666,616.6666666666666,158.05
Whitefield,2785.0,4,5.0,1.25,696.25,275.58
Malleshwaram,2520.0,3,3.0,1.0,840.0,319.69
Kasavanhalli,2110.0,3,4.0,1.3333333333333333,703.3333333333334,126.52
Nallurhalli,1053.0,2,2.0,1.0,526.5,59.74
Electronic City,910.0,2,2.0,1.0,455.0,53.51
Yeshwanthpur,1383.0,3,2.0,0.6666666666666666,461.0,76.26
Bhoganhalli,1125.0,2,2.0,1.0,562.5,60.77
Vijayanagar,1375.0,3,2.0,0.6666666666666666,458.3333333333333,127.37
Yeshwanthpur,667.0,1,1.0,1.0,667.0,37.32
Hoysalanagar,1320.0,3,2.0,0.6666666666666666,440.0,61.68
Raja Rajeshwari Nagar,3450.0,8,7.0,0.875,431.25,164.46
Ramagondanahalli,1200.0,3,3.0,1.0,400.0,55.01
Hessarghatta,1062.0,2,2.0,1.0,531.0,50.08
 Thanisandra,445.0,1,1.0,1.0,445.0,20.18
Whitefield,3565.0,4,4.0,1.0,891.25,330.73
Gubbalala,1539.0,3,2.0,0.6666666666666666,513.0,87.11
Dasarahalli,2400.0,7,3.0,0.42857142857142855,342.85714285714283,165.98
Electronic City Phase II,1065.0,2,2.0,1.0,532.5,30.31
Kengeri,1250.0,3,3.0,1.0,416.6666666666667,76.05
Subramanyapura,1800.0,3,3.0,1.0,600.0,97.06
2nd Phase Judicial Layout,1350.0,3,2.0,0.6666666666666666,450.0,50.73
Devarabisanahalli,1350.0,2,2.0,1.0,675.0,79.23
Uttarahalli,1155.0,2,2.0,1.0,577.5,43.57
Doopanahalli,1625.0,3,3.0,1.0,541.6666666666666,144.82
Ramagondanahalli,1251.0,2,2.0,1.0,625.5,57.72
Malleshwaram,2215.0,3,3.0,1.0,738.3333333333334,281.26
Devanahalli,658.0,1,1.0,1.0,658.0,34.14
Electronic City,1342.0,2,2.0,1.0,671.0,77.23
Siddapura,1275.0,2,2.0,1.0,637.5,93.23
Uttarahalli,1075.0,2,2.0,1.0,537.5,42.58
Kudlu Gate,1535.0,3,3.0,1.0,511.6666666666667,126.35
Gollarapalya Hosahalli,1905.0,4,3.0,0.75,476.25,81.1
VGP Layout,1176.0,2,2.0,1.0,588.0,49.72
AGS Layout,1936.0,3,3.0,1.0,645.3333333333334,93.26
Jakkur,1355.0,3,2.0,0.6666666666666666,451.6666666666667,86.95
Electronics City Phase 1,630.0,1,1.0,1.0,630.0,29.36
Nagavara,2400.0,3,3.0,1.0,800.0,121.9
EPIP Zone,2350.0,3,4.0,1.3333333333333333,783.3333333333334,166.69
Whitefield,1280.0,2,2.0,1.0,640.0,112.59
Hebbal,1255.0,3,2.0,0.6666666666666666,418.3333333333333,123.19
Akshaya Vana,1141.0,2,2.0,1.0,570.5,47.28
Mahalakshmi Layout,1105.0,2,2.0,1.0,552.5,114.85
Mahadevpura,1438.0,2,2.0,1.0,719.0,70.39
Mallasandra,1665.0,3,3.0,1.0,555.0,89.61
Subramanyapura,1313.0,2,2.0,1.0,656.5,71.51
Laggere,1200.0,2,2.0,1.0,600.0,83.87
Thanisandra,1732.0,3,3.0,1.0,577.3333333333334,142.3
Akshayanagara East,1519.0,3,3.0,1.0,506.3333333333333,84.56
Hormavu,765.0,2,2.0,1.0,382.5,37.41
Kogilu,1140.0,2,2.0,1.0,570.0,48.54
Kanakpura Road,1550.0,3,3.0,1.0,516.6666666666666,78.71
Ferrar Nagar,1180.0,2,2.0,1.0,590.0,75.58
CV Raman Nagar,1659.0,3,3.0,1.0,553.0,83.08
6th block Koramangala,3000.0,3,3.0,1.0,1000.0,356.91
RMV 2nd Stage,2000.0,4,4.0,1.0,500.0,258.06
Mangammanapalya,1058.0,2,2.0,1.0,529.0,46.18
Kanakapura,938.0,1,1.0,1.0,938.0,45.74
Domlur,1720.0,3,3.0,1.0,573.3333333333334,211.68
Rajaji Nagar,720.0,2,2.0,1.0,360.0,96.4
Sarjapur  Road,1580.0,3,3.0,1.0,526.6666666666666,88.99
Banashankari,1300.0,3,2.0,0.6666666666666666,433.3333333333333,112.09
Ambalipura,1625.0,3,2.0,0.6666666666666666,541.6666666666666,91.26
Lingadheeranahalli,1768.0,3,3.0,1.0,589.3333333333334,119.09
Sonnenahalli,1011.0,2,2.0,1.0,505.5,51.04
Kanakpura Road,1450.0,3,3.0,1.0,483.3333333333333,73.37
Bannerghatta Road,1115.0,2,2.0,1.0,557.5,102.83
Malleshpalya,1210.0,2,2.0,1.0,605.0,55.5
Singasandra,1464.0,3,3.0,1.0,488.0,68.11
Old Madras Road,1425.0,3,2.0,0.6666666666666666,475.0,81.3
Electronics City Phase 1,940.0,2,2.0,1.0,470.0,46.9
Marathahalli,1678.0,3,3.0,1.0,559.3333333333334,155.95
Badavala Nagar,1842.0,3,3.0,1.0,614.0,126.64
Kanakpura Road,1900.0,3,3.0,1.0,633.3333333333334,96.54
Vittasandra,1246.0,2,2.0,1.0,623.0,63.72
Kanakpura Road,1300.0,3,2.0,0.6666666666666666,433.3333333333333,66.5
Garebhavipalya,1200.0,2,2.0,1.0,600.0,64.81
Manayata Tech Park,3400.0,4,4.0,1.0,850.0,154.02
Whitefield,1564.0,3,3.0,1.0,521.3333333333334,145.95
Kasavanhalli,4408.0,4,4.0,1.0,1102.0,266.99
Medi Agrahara,1350.0,4,4.0,1.0,337.5,88.56
Electronic City Phase II,829.0,2,2.0,1.0,414.5,25.04
Vittasandra,1246.0,2,2.0,1.0,623.0,65.9
Banashankari,1200.0,3,2.0,0.6666666666666666,400.0,98.68
Nagarbhavi,1200.0,4,4.0,1.0,300.0,108.47
Ardendale,1750.0,3,3.0,1.0,583.3333333333334,103.3
Whitefield,1000.0,2,2.0,1.0,500.0,88.52
Electronic City Phase II,1140.0,2,2.0,1.0,570.0,32.13
1st Phase JP Nagar,1875.0,3,3.0,1.0,625.0,162.9
Raja Rajeshwari Nagar,1260.0,2,2.0,1.0,630.0,52.33
Old Airport Road,2690.0,4,4.0,1.0,672.5,206.91
Somasundara Palya,1571.0,3,3.0,1.0,523.6666666666666,82.05
Kalena Agrahara,1040.0,2,2.0,1.0,520.0,51.8
CV Raman Nagar,907.0,2,2.0,1.0,453.5,46.46
Haralur Road,1194.0,2,2.0,1.0,597.0,111.44
Doddathoguru,855.0,2,2.0,1.0,427.5,32.05
Thubarahalli,1330.0,2,2.0,1.0,665.0,75.36
Thigalarapalya,1418.0,2,2.0,1.0,709.0,102.51
Begur Road,1160.0,2,2.0,1.0,580.0,82.37
Garudachar Palya,4500.0,4,5.0,1.25,1125.0,228.33
Jigani,939.0,2,2.0,1.0,469.5,52.34
Rajaji Nagar,1260.0,2,2.0,1.0,630.0,172.51
Roopena Agrahara,1050.0,2,2.0,1.0,525.0,52.63
Choodasandra,1220.0,3,3.0,1.0,406.6666666666667,62.15
Choodasandra,1254.0,3,2.0,0.6666666666666666,418.0,64.23
Thigalarapalya,3122.0,4,6.0,1.5,780.5,240.74
Hulimavu,1225.0,2,2.0,1.0,612.5,65.86
Old Madras Road,5020.0,5,7.0,1.4,1004.0,318.47
Begur Road,1225.0,2,2.0,1.0,612.5,88.94
Sarjapur  Road,1050.0,2,2.0,1.0,525.0,58.7
Marathahalli,4000.0,4,5.0,1.25,1000.0,370.96
Old Madras Road,2266.0,3,3.0,1.0,755.3333333333334,131.61
Old Mangammanapalya Road,3200.0,3,4.0,1.3333333333333333,1066.6666666666667,140.74
Hosur Road,3600.0,5,5.0,1.0,720.0,317.41
Rest House Road,4900.0,5,5.0,1.0,980.0,974.61
Amblipura,1300.0,3,2.0,0.6666666666666666,433.3333333333333,89.39
Benson Town,1688.12,2,2.0,1.0,844.06,251.43
Whitefield,1457.0,3,2.0,0.6666666666666666,485.6666666666667,130.42
1st Block Jayanagar,1630.0,3,3.0,1.0,543.3333333333334,208.18
Jalahalli,1694.0,2,2.0,1.0,847.0,100.98
Kathriguppe,754.0,2,2.0,1.0,377.0,44.63
Thanisandra,1430.0,3,2.0,0.6666666666666666,476.6666666666667,121.14
Marathahalli,1435.0,3,3.0,1.0,478.3333333333333,136.63
Yelahanka,602.0,1,1.0,1.0,602.0,44.92
Kothanur,1787.0,3,3.0,1.0,595.6666666666666,97.36
Old Airport Road,1655.0,2,2.0,1.0,827.5,118.55
Sadduguntepalya,1200.0,2,2.0,1.0,600.0,75.77
Shivaji Nagar,1554.0,2,3.0,1.5,777.0,121.26
Gottigere,1200.0,2,2.0,1.0,600.0,51.62
Singasandra,3126.0,4,4.0,1.0,781.5,156.58
Electronic City,1156.0,2,2.0,1.0,578.0,66.42
BTM Layout,1458.0,3,3.0,1.0,486.0,147.78
Talaghattapura,2038.5,3,3.0,1.0,679.5,126.71
Bommenahalli,1670.0,4,3.0,0.75,417.5,139.83
Bellandur,950.0,2,2.0,1.0,475.0,95.23
Harlur,1197.0,2,2.0,1.0,598.5,116.95
BTM 2nd Stage,1274.0,2,2.0,1.0,637.0,79.38
Iblur Village,3596.0,4,5.0,1.25,899.0,273.84
Kothanur,1095.0,2,2.0,1.0,547.5,54.11
Sarjapur  Road,1550.0,3,2.0,0.6666666666666666,516.6666666666666,89.62
Sompura,1275.0,3,3.0,1.0,425.0,51.43
Bellandur,1420.0,3,3.0,1.0,473.3333333333333,148.92
Pai Layout,780.0,2,2.0,1.0,390.0,32.74
Thigalarapalya,3122.0,4,6.0,1.5,780.5,252.2
Bellandur,1200.0,2,2.0,1.0,600.0,124.03
Bommasandra Industrial Area,1220.0,3,2.0,0.6666666666666666,406.6666666666667,35.84
Nandini Layout,600.0,2,3.0,1.5,300.0,55.09
Raja Rajeshwari Nagar,1693.0,3,3.0,1.0,564.3333333333334,72.48
Nagarbhavi,1050.0,3,3.0,1.0,350.0,93.92
Iblur Village,3596.0,4,5.0,1.25,899.0,259.49
Kogilu,650.0,2,2.0,1.0,325.0,28.66
Yelachenahalli,1080.0,2,2.0,1.0,540.0,59.78
Vinayaka Nagar,1145.0,2,2.0,1.0,572.5,51.79
Sahakara Nagar,1200.0,2,2.0,1.0,600.0,74.32
Panathur,1370.0,3,2.0,0.6666666666666666,456.6666666666667,131.85
Anandapura,1415.0,3,2.0,0.6666666666666666,471.6666666666667,65.19
"Judicial Layout, Kanakapura Road, ",700.0,2,2.0,1.0,350.0,34.36
Munnekollal,1170.0,2,2.0,1.0,585.0,56.08
Gottigere,1380.0,3,2.0,0.6666666666666666,460.0,61.13
Hebbal,3500.0,3,3.0,1.0,1166.6666666666667,361.06
Viviani Road,2214.0,3,3.0,1.0,738.0,366.53
Sarjapur  Road,915.0,2,2.0,1.0,457.5,52.27
Channasandra,1200.0,2,2.0,1.0,600.0,42.48
Kathriguppe,1400.0,3,2.0,0.6666666666666666,466.6666666666667,89.42
Kammasandra,982.0,2,2.0,1.0,491.0,28.47
Whitefield,1277.0,2,2.0,1.0,638.5,112.98
Kanakpura Road,1703.0,3,3.0,1.0,567.6666666666666,85.95
Jalahalli East,750.0,1,1.0,1.0,750.0,36.95
Whitefield,1415.0,2,2.0,1.0,707.5,125.4
Hoodi,3250.0,5,5.0,1.0,650.0,317.36
Kaverappa Layout,1269.72,2,2.0,1.0,634.86,68.56
Adityanagar,1260.0,1,1.0,1.0,1260.0,40.22
Whitefield,1216.0,2,2.0,1.0,608.0,110.46
Tirumanahalli,1255.0,2,2.0,1.0,627.5,54.82
Kasavanhalli,1555.0,3,3.0,1.0,518.3333333333334,88.76
Poorna Pragna Layout,2400.0,7,6.0,0.8571428571428571,342.85714285714283,111.58
Uttarahalli,1330.0,3,2.0,0.6666666666666666,443.3333333333333,54.08
JP Nagar,2500.0,3,3.0,1.0,833.3333333333334,224.62
Sai Gardens,1120.0,2,2.0,1.0,560.0,48.31
Rachenahalli,1530.0,3,2.0,0.6666666666666666,510.0,79.54
HOSUR MAIN ROAD,1464.0,3,3.0,1.0,488.0,57.86
Veer Sandra,1500.0,3,3.0,1.0,500.0,99.84
Thanisandra,662.0,1,1.0,1.0,662.0,50.7
Thanisandra,1148.0,2,2.0,1.0,574.0,93.41
Chinnapanahalli,980.0,2,2.0,1.0,490.0,41.74
Hennur Road,1482.0,3,2.0,0.6666666666666666,494.0,87.13
Jalahalli East,1260.0,3,2.0,0.6666666666666666,420.0,65.77
Akshaya Nagar,1884.0,3,3.0,1.0,628.0,154.96
Green Glen Layout,940.0,2,2.0,1.0,470.0,60.45
Thanisandra,1265.0,2,2.0,1.0,632.5,101.49
Ullal Uppanagar,1200.0,2,2.0,1.0,600.0,56.78
Jalahalli,980.0,3,2.0,0.6666666666666666,326.6666666666667,61.15
Anjanapura,1500.0,3,3.0,1.0,500.0,55.34
Yelahanka,1210.0,2,2.0,1.0,605.0,93.78
Bisuvanahalli,1075.0,3,2.0,0.6666666666666666,358.3333333333333,44.13
Kathriguppe,1350.0,3,3.0,1.0,450.0,87.47
Kadubeesanahalli,1140.0,2,2.0,1.0,570.0,131.19
Budigere,1139.0,2,2.0,1.0,569.5,54.34
